filename,score,cluster_id,drugbank_id
DB11742_docking_min1.mol2,-10.0,0,DB11742
DB00843_docking_min1.mol2,-7.6,0,DB00843
DB08990_docking_min1.mol2,-6.6,0,DB08990
DB00645_docking_min1.mol2,-6.5,0,DB00645
DB11125_docking_min1.mol2,-6.5,0,DB11125
DB09345_docking_min1.mol2,-6.1,0,DB09345
DB12554_docking_min1.mol2,-5.9,0,DB12554
DB01081_docking_min1.mol2,-5.8,0,DB01081
DB12278_docking_min1.mol2,-5.7,0,DB12278
DB01146_docking_min1.mol2,-5.6,0,DB01146
DB00454_docking_min1.mol2,-5.5,0,DB00454
DB08988_docking_min1.mol2,-5.4,0,DB08988
DB06684_docking_min1.mol2,-9.4,1,DB06684
DB00480_docking_min1.mol2,-8.2,1,DB00480
DB00210_docking_min1.mol2,-9.2,2,DB00210
DB11071_docking_min1.mol2,-7.6,2,DB11071
DB13953_docking_min1.mol2,-7.5,2,DB13953
DB00788_docking_min1.mol2,-7.3,2,DB00788
DB04575_docking_min1.mol2,-7.2,2,DB04575
DB04824_docking_min1.mol2,-7.1,2,DB04824
DB01428_docking_min1.mol2,-6.9,2,DB01428
DB01241_docking_min1.mol2,-6.4,2,DB01241
DB11994_docking_min1.mol2,-6.4,2,DB11994
DB01357_docking_min1.mol2,-6.3,2,DB01357
DB04573_docking_min1.mol2,-6.3,2,DB04573
DB00946_docking_min1.mol2,-6.2,2,DB00946
DB00374_docking_min1.mol2,-6.1,2,DB00374
DB00573_docking_min1.mol2,-6.1,2,DB00573
DB11201_docking_min1.mol2,-5.8,2,DB11201
DB11791_docking_min1.mol2,-9.2,3,DB11791
DB01544_docking_min1.mol2,-9.1,4,DB01544
DB01595_docking_min1.mol2,-6.7,4,DB01595
DB01068_docking_min1.mol2,-6.6,4,DB01068
DB06589_docking_min1.mol2,-9.1,5,DB06589
DB00705_docking_min1.mol2,-8.1,5,DB00705
DB00482_docking_min1.mol2,-7.6,5,DB00482
DB08881_docking_min1.mol2,-7.6,5,DB08881
DB00576_docking_min1.mol2,-7.3,5,DB00576
DB00216_docking_min1.mol2,-7.1,5,DB00216
DB11817_docking_min1.mol2,-6.9,5,DB11817
DB00808_docking_min1.mol2,-6.7,5,DB00808
DB00952_docking_min1.mol2,-6.7,5,DB00952
DB00918_docking_min1.mol2,-6.4,5,DB00918
DB01621_docking_min1.mol2,-6.4,5,DB01621
DB06147_docking_min1.mol2,-6.2,5,DB06147
DB13165_docking_min1.mol2,-6.1,5,DB13165
DB01194_docking_min1.mol2,-5.6,5,DB01194
DB00869_docking_min1.mol2,-5.5,5,DB00869
DB00669_docking_min1.mol2,-5.3,5,DB00669
DB00734_docking_min1.mol2,-9.0,6,DB00734
DB09195_docking_min1.mol2,-8.8,6,DB09195
DB00298_docking_min1.mol2,-7.8,6,DB00298
DB00656_docking_min1.mol2,-7.7,6,DB00656
DB00972_docking_min1.mol2,-7.7,6,DB00972
DB01149_docking_min1.mol2,-7.6,6,DB01149
DB09034_docking_min1.mol2,-7.2,6,DB09034
DB00402_docking_min1.mol2,-6.3,6,DB00402
DB01198_docking_min1.mol2,-6.3,6,DB01198
DB01067_docking_min1.mol2,-9.0,7,DB01067
DB09183_docking_min1.mol2,-8.4,7,DB09183
DB01016_docking_min1.mol2,-8.3,7,DB01016
DB01582_docking_min1.mol2,-8.1,7,DB01582
DB01298_docking_min1.mol2,-8.0,7,DB01298
DB00880_docking_min1.mol2,-7.9,7,DB00880
DB00436_docking_min1.mol2,-7.8,7,DB00436
DB00664_docking_min1.mol2,-7.7,7,DB00664
DB11362_docking_min1.mol2,-7.7,7,DB11362
DB00263_docking_min1.mol2,-7.6,7,DB00263
DB08798_docking_min1.mol2,-7.5,7,DB08798
DB00524_docking_min1.mol2,-7.4,7,DB00524
DB01325_docking_min1.mol2,-7.4,7,DB01325
DB00706_docking_min1.mol2,-7.2,7,DB00706
DB00359_docking_min1.mol2,-7.0,7,DB00359
DB00391_docking_min1.mol2,-7.0,7,DB00391
DB01581_docking_min1.mol2,-7.0,7,DB01581
DB00469_docking_min1.mol2,-6.9,7,DB00469
DB00562_docking_min1.mol2,-6.9,7,DB00562
DB06821_docking_min1.mol2,-6.9,7,DB06821
DB00862_docking_min1.mol2,-6.8,7,DB00862
DB00203_docking_min1.mol2,-6.7,7,DB00203
DB01015_docking_min1.mol2,-6.7,7,DB01015
DB00276_docking_min1.mol2,-6.6,7,DB00276
DB00554_docking_min1.mol2,-6.5,7,DB00554
DB00999_docking_min1.mol2,-6.5,7,DB00999
DB01382_docking_min1.mol2,-6.5,7,DB01382
DB00214_docking_min1.mol2,-6.4,7,DB00214
DB00891_docking_min1.mol2,-6.4,7,DB00891
DB02925_docking_min1.mol2,-6.3,7,DB02925
DB01021_docking_min1.mol2,-6.1,7,DB01021
DB00774_docking_min1.mol2,-6.0,7,DB00774
DB01324_docking_min1.mol2,-5.8,7,DB01324
DB00232_docking_min1.mol2,-5.7,7,DB00232
DB06729_docking_min1.mol2,-5.7,7,DB06729
DB01299_docking_min1.mol2,-5.6,7,DB01299
DB00887_docking_min1.mol2,-5.3,7,DB00887
DB00872_docking_min1.mol2,-8.9,8,DB00872
DB12867_docking_min1.mol2,-8.5,8,DB12867
DB01261_docking_min1.mol2,-8.4,8,DB01261
DB04908_docking_min1.mol2,-8.4,8,DB04908
DB01184_docking_min1.mol2,-8.3,8,DB01184
DB00637_docking_min1.mol2,-8.2,8,DB00637
DB01238_docking_min1.mol2,-8.2,8,DB01238
DB01267_docking_min1.mol2,-8.1,8,DB01267
DB06144_docking_min1.mol2,-8.1,8,DB06144
DB00450_docking_min1.mol2,-7.8,8,DB00450
DB01100_docking_min1.mol2,-7.8,8,DB01100
DB00467_docking_min1.mol2,-7.7,8,DB00467
DB00685_docking_min1.mol2,-7.7,8,DB00685
DB00969_docking_min1.mol2,-7.7,8,DB00969
DB01349_docking_min1.mol2,-7.6,8,DB01349
DB00246_docking_min1.mol2,-7.4,8,DB00246
DB01254_docking_min1.mol2,-7.4,8,DB01254
DB11703_docking_min1.mol2,-7.2,8,DB11703
DB09343_docking_min1.mol2,-7.1,8,DB09343
DB08931_docking_min1.mol2,-7.0,8,DB08931
DB14018_docking_min1.mol2,-7.0,8,DB14018
DB14132_docking_min1.mol2,-7.0,8,DB14132
DB09054_docking_min1.mol2,-6.9,8,DB09054
DB00261_docking_min1.mol2,-6.4,8,DB00261
DB04842_docking_min1.mol2,-6.4,8,DB04842
DB00978_docking_min1.mol2,-6.2,8,DB00978
DB01059_docking_min1.mol2,-6.1,8,DB01059
DB01268_docking_min1.mol2,-6.0,8,DB01268
DB08895_docking_min1.mol2,-6.0,8,DB08895
DB00238_docking_min1.mol2,-5.9,8,DB00238
DB09030_docking_min1.mol2,-8.9,9,DB09030
DB00398_docking_min1.mol2,-8.8,10,DB00398
DB08896_docking_min1.mol2,-8.2,10,DB08896
DB01195_docking_min1.mol2,-7.3,10,DB01195
DB01656_docking_min1.mol2,-7.3,10,DB01656
DB09078_docking_min1.mol2,-7.2,10,DB09078
DB00619_docking_min1.mol2,-8.8,11,DB00619
DB08883_docking_min1.mol2,-7.1,11,DB08883
DB00853_docking_min1.mol2,-6.9,11,DB00853
DB00670_docking_min1.mol2,-6.6,11,DB00670
DB06203_docking_min1.mol2,-6.1,11,DB06203
DB00849_docking_min1.mol2,-5.7,11,DB00849
DB00791_docking_min1.mol2,-5.6,11,DB00791
DB06228_docking_min1.mol2,-8.8,12,DB06228
DB13931_docking_min1.mol2,-8.8,13,DB13931
DB01132_docking_min1.mol2,-8.7,14,DB01132
DB09198_docking_min1.mol2,-8.2,14,DB09198
DB05039_docking_min1.mol2,-8.7,15,DB05039
DB02959_docking_min1.mol2,-7.5,15,DB02959
DB08820_docking_min1.mol2,-7.3,15,DB08820
DB01065_docking_min1.mol2,-7.2,15,DB01065
DB09219_docking_min1.mol2,-7.2,15,DB09219
DB01366_docking_min1.mol2,-5.6,15,DB01366
DB08922_docking_min1.mol2,-8.7,16,DB08922
DB08815_docking_min1.mol2,-8.1,16,DB08815
DB00490_docking_min1.mol2,-6.8,16,DB00490
DB08930_docking_min1.mol2,-8.7,17,DB08930
DB00487_docking_min1.mol2,-7.9,17,DB00487
DB09074_docking_min1.mol2,-7.8,17,DB09074
DB00322_docking_min1.mol2,-7.6,17,DB00322
DB00432_docking_min1.mol2,-7.1,17,DB00432
DB00604_docking_min1.mol2,-7.0,17,DB00604
DB11943_docking_min1.mol2,-7.0,17,DB11943
DB01030_docking_min1.mol2,-6.7,17,DB01030
DB09047_docking_min1.mol2,-6.7,17,DB09047
DB09101_docking_min1.mol2,-6.7,17,DB09101
DB01137_docking_min1.mol2,-6.5,17,DB01137
DB01165_docking_min1.mol2,-6.5,17,DB01165
DB01208_docking_min1.mol2,-6.4,17,DB01208
DB00365_docking_min1.mol2,-6.2,17,DB00365
DB06771_docking_min1.mol2,-6.2,17,DB06771
DB00218_docking_min1.mol2,-6.1,17,DB00218
DB00537_docking_min1.mol2,-6.1,17,DB00537
DB00716_docking_min1.mol2,-6.1,17,DB00716
DB01044_docking_min1.mol2,-5.9,17,DB01044
DB04576_docking_min1.mol2,-5.9,17,DB04576
DB00249_docking_min1.mol2,-5.7,17,DB00249
DB00691_docking_min1.mol2,-5.2,17,DB00691
DB11799_docking_min1.mol2,-8.7,18,DB11799
DB01166_docking_min1.mol2,-8.6,18,DB01166
DB09143_docking_min1.mol2,-8.4,18,DB09143
DB00243_docking_min1.mol2,-8.3,18,DB00243
DB00640_docking_min1.mol2,-8.2,18,DB00640
DB08910_docking_min1.mol2,-8.2,18,DB08910
DB01162_docking_min1.mol2,-8.1,18,DB01162
DB00457_docking_min1.mol2,-8.0,18,DB00457
DB00820_docking_min1.mol2,-8.0,18,DB00820
DB06605_docking_min1.mol2,-8.0,18,DB06605
DB01101_docking_min1.mol2,-7.9,18,DB01101
DB00590_docking_min1.mol2,-7.8,18,DB00590
DB01004_docking_min1.mol2,-7.8,18,DB01004
DB01157_docking_min1.mol2,-7.8,18,DB01157
DB06207_docking_min1.mol2,-7.8,18,DB06207
DB09053_docking_min1.mol2,-7.8,18,DB09053
DB09073_docking_min1.mol2,-7.8,18,DB09073
DB00987_docking_min1.mol2,-7.7,18,DB00987
DB12483_docking_min1.mol2,-7.7,18,DB12483
DB01482_docking_min1.mol2,-7.6,18,DB01482
DB04335_docking_min1.mol2,-7.5,18,DB04335
DB06480_docking_min1.mol2,-7.5,18,DB06480
DB01262_docking_min1.mol2,-7.4,18,DB01262
DB06237_docking_min1.mol2,-7.4,18,DB06237
DB00242_docking_min1.mol2,-7.3,18,DB00242
DB00346_docking_min1.mol2,-7.3,18,DB00346
DB00360_docking_min1.mol2,-7.3,18,DB00360
DB00649_docking_min1.mol2,-7.2,18,DB00649
DB00824_docking_min1.mol2,-7.2,18,DB00824
DB00787_docking_min1.mol2,-6.9,18,DB00787
DB00900_docking_min1.mol2,-6.9,18,DB00900
DB08916_docking_min1.mol2,-6.9,18,DB08916
DB00943_docking_min1.mol2,-6.8,18,DB00943
DB00277_docking_min1.mol2,-6.7,18,DB00277
DB00299_docking_min1.mol2,-6.7,18,DB00299
DB00552_docking_min1.mol2,-6.7,18,DB00552
DB11730_docking_min1.mol2,-6.7,18,DB11730
DB13421_docking_min1.mol2,-6.7,18,DB13421
DB08882_docking_min1.mol2,-6.6,18,DB08882
DB00709_docking_min1.mol2,-6.5,18,DB00709
DB01412_docking_min1.mol2,-6.5,18,DB01412
DB09330_docking_min1.mol2,-6.5,18,DB09330
DB00317_docking_min1.mol2,-6.4,18,DB00317
DB00442_docking_min1.mol2,-6.3,18,DB00442
DB00194_docking_min1.mol2,-6.2,18,DB00194
DB09092_docking_min1.mol2,-5.9,18,DB09092
DB00631_docking_min1.mol2,-5.8,18,DB00631
DB09144_docking_min1.mol2,-5.8,18,DB09144
DB01073_docking_min1.mol2,-5.7,18,DB01073
DB01265_docking_min1.mol2,-5.6,18,DB01265
DB00441_docking_min1.mol2,-5.4,18,DB00441
DB00651_docking_min1.mol2,-5.3,18,DB00651
DB12598_docking_min1.mol2,-8.7,19,DB12598
DB00738_docking_min1.mol2,-7.1,19,DB00738
DB00564_docking_min1.mol2,-8.6,20,DB00564
DB00776_docking_min1.mol2,-8.6,20,DB00776
DB09119_docking_min1.mol2,-7.0,20,DB09119
DB00601_docking_min1.mol2,-8.6,21,DB00601
DB09256_docking_min1.mol2,-6.9,21,DB09256
DB00879_docking_min1.mol2,-5.1,21,DB00879
DB04861_docking_min1.mol2,-8.6,22,DB04861
DB13164_docking_min1.mol2,-8.6,23,DB13164
DB00412_docking_min1.mol2,-8.5,23,DB00412
DB09128_docking_min1.mol2,-7.6,23,DB09128
DB11699_docking_min1.mol2,-6.2,23,DB11699
DB14061_docking_min1.mol2,-5.3,23,DB14061
DB13872_docking_min1.mol2,-8.6,24,DB13872
DB00801_docking_min1.mol2,-7.9,24,DB00801
DB14028_docking_min1.mol2,-7.3,24,DB14028
DB00231_docking_min1.mol2,-7.0,24,DB00231
DB01489_docking_min1.mol2,-6.7,24,DB01489
DB09003_docking_min1.mol2,-6.6,24,DB09003
DB00186_docking_min1.mol2,-6.4,24,DB00186
DB00829_docking_min1.mol2,-6.4,24,DB00829
DB00842_docking_min1.mol2,-6.4,24,DB00842
DB01558_docking_min1.mol2,-6.4,24,DB01558
DB01594_docking_min1.mol2,-6.4,24,DB01594
DB00349_docking_min1.mol2,-6.3,24,DB00349
DB01545_docking_min1.mol2,-6.3,24,DB01545
DB01553_docking_min1.mol2,-6.3,24,DB01553
DB01567_docking_min1.mol2,-6.3,24,DB01567
DB00628_docking_min1.mol2,-6.1,24,DB00628
DB01511_docking_min1.mol2,-6.1,24,DB01511
DB08968_docking_min1.mol2,-6.1,24,DB08968
DB01588_docking_min1.mol2,-5.9,24,DB01588
DB05015_docking_min1.mol2,-8.5,25,DB05015
DB01144_docking_min1.mol2,-7.7,25,DB01144
DB00414_docking_min1.mol2,-7.3,25,DB00414
DB00250_docking_min1.mol2,-7.2,25,DB00250
DB00839_docking_min1.mol2,-7.0,25,DB00839
DB09355_docking_min1.mol2,-7.0,25,DB09355
DB00634_docking_min1.mol2,-6.8,25,DB00634
DB00672_docking_min1.mol2,-6.7,25,DB00672
DB00308_docking_min1.mol2,-6.5,25,DB00308
DB00489_docking_min1.mol2,-6.5,25,DB00489
DB00259_docking_min1.mol2,-6.4,25,DB00259
DB00819_docking_min1.mol2,-6.2,25,DB00819
DB01124_docking_min1.mol2,-6.1,25,DB01124
DB06795_docking_min1.mol2,-5.9,25,DB06795
DB09080_docking_min1.mol2,-8.5,26,DB09080
DB11793_docking_min1.mol2,-8.5,27,DB11793
DB00953_docking_min1.mol2,-6.8,27,DB00953
DB06155_docking_min1.mol2,-6.7,27,DB06155
DB00889_docking_min1.mol2,-6.3,27,DB00889
DB00481_docking_min1.mol2,-8.4,28,DB00481
DB06249_docking_min1.mol2,-7.5,28,DB06249
DB11490_docking_min1.mol2,-7.4,28,DB11490
DB00688_docking_min1.mol2,-7.0,28,DB00688
DB00827_docking_min1.mol2,-6.7,28,DB00827
DB00844_docking_min1.mol2,-6.7,28,DB00844
DB09209_docking_min1.mol2,-6.7,28,DB09209
DB00327_docking_min1.mol2,-6.6,28,DB00327
DB06800_docking_min1.mol2,-6.6,28,DB06800
DB00318_docking_min1.mol2,-6.5,28,DB00318
DB00704_docking_min1.mol2,-6.5,28,DB00704
DB01466_docking_min1.mol2,-6.5,28,DB01466
DB00295_docking_min1.mol2,-6.4,28,DB00295
DB01183_docking_min1.mol2,-6.4,28,DB01183
DB01192_docking_min1.mol2,-6.4,28,DB01192
DB08897_docking_min1.mol2,-6.3,28,DB08897
DB01551_docking_min1.mol2,-6.2,28,DB01551
DB06230_docking_min1.mol2,-6.2,28,DB06230
DB09300_docking_min1.mol2,-6.2,28,DB09300
DB00497_docking_min1.mol2,-6.1,28,DB00497
DB00921_docking_min1.mol2,-6.1,28,DB00921
DB11315_docking_min1.mol2,-6.0,28,DB11315
DB00674_docking_min1.mol2,-5.9,28,DB00674
DB01409_docking_min1.mol2,-5.9,28,DB01409
DB00747_docking_min1.mol2,-5.8,28,DB00747
DB01393_docking_min1.mol2,-8.4,29,DB01393
DB01411_docking_min1.mol2,-8.4,30,DB01411
DB05154_docking_min1.mol2,-8.4,31,DB05154
DB08828_docking_min1.mol2,-8.4,32,DB08828
DB01628_docking_min1.mol2,-7.7,32,DB01628
DB08974_docking_min1.mol2,-8.4,33,DB08974
DB00643_docking_min1.mol2,-8.1,33,DB00643
DB00518_docking_min1.mol2,-6.1,33,DB00518
DB00448_docking_min1.mol2,-8.3,34,DB00448
DB00213_docking_min1.mol2,-7.7,34,DB00213
DB00338_docking_min1.mol2,-7.1,34,DB00338
DB05351_docking_min1.mol2,-6.8,34,DB05351
DB00736_docking_min1.mol2,-6.7,34,DB00736
DB01129_docking_min1.mol2,-6.1,34,DB01129
DB01128_docking_min1.mol2,-8.3,35,DB01128
DB01145_docking_min1.mol2,-8.3,36,DB01145
DB00973_docking_min1.mol2,-8.2,37,DB00973
DB06212_docking_min1.mol2,-7.5,37,DB06212
DB12364_docking_min1.mol2,-7.3,37,DB12364
DB00328_docking_min1.mol2,-6.8,37,DB00328
DB06603_docking_min1.mol2,-8.2,38,DB06603
DB08439_docking_min1.mol2,-8.2,39,DB08439
DB06288_docking_min1.mol2,-6.8,39,DB06288
DB06268_docking_min1.mol2,-6.6,39,DB06268
DB14033_docking_min1.mol2,-6.6,39,DB14033
DB00580_docking_min1.mol2,-6.4,39,DB00580
DB00703_docking_min1.mol2,-5.8,39,DB00703
DB08907_docking_min1.mol2,-8.2,40,DB08907
DB11827_docking_min1.mol2,-7.0,40,DB11827
DB09280_docking_min1.mol2,-8.2,41,DB09280
DB12401_docking_min1.mol2,-8.2,42,DB12401
DB00502_docking_min1.mol2,-7.6,42,DB00502
DB01106_docking_min1.mol2,-7.3,42,DB01106
DB00836_docking_min1.mol2,-6.8,42,DB00836
DB00678_docking_min1.mol2,-8.1,43,DB00678
DB00196_docking_min1.mol2,-7.8,43,DB00196
DB11633_docking_min1.mol2,-7.5,43,DB11633
DB06201_docking_min1.mol2,-7.2,43,DB06201
DB09040_docking_min1.mol2,-5.7,43,DB09040
DB00582_docking_min1.mol2,-5.6,43,DB00582
DB00757_docking_min1.mol2,-8.1,44,DB00757
DB00465_docking_min1.mol2,-7.6,44,DB00465
DB01618_docking_min1.mol2,-6.1,44,DB01618
DB11915_docking_min1.mol2,-5.5,44,DB11915
DB00799_docking_min1.mol2,-8.1,45,DB00799
DB00885_docking_min1.mol2,-8.1,46,DB00885
DB01029_docking_min1.mol2,-7.3,46,DB01029
DB00437_docking_min1.mol2,-6.3,46,DB00437
DB01425_docking_min1.mol2,-5.7,46,DB01425
DB01048_docking_min1.mol2,-8.1,47,DB01048
DB00724_docking_min1.mol2,-7.4,47,DB00724
DB00751_docking_min1.mol2,-7.2,47,DB00751
DB09244_docking_min1.mol2,-6.2,47,DB09244
DB08799_docking_min1.mol2,-6.1,47,DB08799
DB00334_docking_min1.mol2,-5.9,47,DB00334
DB01186_docking_min1.mol2,-5.5,47,DB01186
DB04946_docking_min1.mol2,-8.1,48,DB04946
DB06210_docking_min1.mol2,-8.1,49,DB06210
DB01609_docking_min1.mol2,-7.4,49,DB01609
DB01435_docking_min1.mol2,-6.3,49,DB01435
DB00812_docking_min1.mol2,-6.0,49,DB00812
DB03585_docking_min1.mol2,-5.9,49,DB03585
DB06414_docking_min1.mol2,-8.1,50,DB06414
DB06816_docking_min1.mol2,-8.1,51,DB06816
DB11263_docking_min1.mol2,-8.1,52,DB11263
DB12945_docking_min1.mol2,-8.1,53,DB12945
DB12954_docking_min1.mol2,-8.1,54,DB12954
DB00260_docking_min1.mol2,-4.7,54,DB00260
DB01097_docking_min1.mol2,-8.0,55,DB01097
DB06401_docking_min1.mol2,-8.0,56,DB06401
DB01136_docking_min1.mol2,-7.8,56,DB01136
DB06202_docking_min1.mol2,-7.5,56,DB06202
DB06217_docking_min1.mol2,-6.9,56,DB06217
DB00908_docking_min1.mol2,-6.2,56,DB00908
DB00468_docking_min1.mol2,-6.1,56,DB00468
DB06814_docking_min1.mol2,-8.0,57,DB06814
DB07776_docking_min1.mol2,-8.0,58,DB07776
DB08954_docking_min1.mol2,-8.0,59,DB08954
DB00714_docking_min1.mol2,-6.8,59,DB00714
DB00504_docking_min1.mol2,-6.5,59,DB00504
DB00611_docking_min1.mol2,-6.1,59,DB00611
DB00652_docking_min1.mol2,-6.1,59,DB00652
DB06738_docking_min1.mol2,-6.1,59,DB06738
DB00854_docking_min1.mol2,-6.0,59,DB00854
DB08979_docking_min1.mol2,-8.0,60,DB08979
DB09096_docking_min1.mol2,-8.0,61,DB09096
DB11672_docking_min1.mol2,-8.0,62,DB11672
DB00459_docking_min1.mol2,-7.3,62,DB00459
DB00179_docking_min1.mol2,-7.2,62,DB00179
DB08814_docking_min1.mol2,-7.1,62,DB08814
DB00654_docking_min1.mol2,-7.0,62,DB00654
DB11221_docking_min1.mol2,-7.0,62,DB11221
DB11217_docking_min1.mol2,-6.7,62,DB11217
DB00945_docking_min1.mol2,-6.3,62,DB00945
DB00874_docking_min1.mol2,-6.1,62,DB00874
DB01399_docking_min1.mol2,-6.1,62,DB01399
DB09543_docking_min1.mol2,-5.7,62,DB09543
DB00936_docking_min1.mol2,-5.6,62,DB00936
DB11359_docking_min1.mol2,-5.0,62,DB11359
DB11299_docking_min1.mol2,-4.7,62,DB11299
DB11323_docking_min1.mol2,-4.7,62,DB11323
DB14086_docking_min1.mol2,-8.0,63,DB14086
DB01094_docking_min1.mol2,-7.9,63,DB01094
DB00266_docking_min1.mol2,-7.8,63,DB00266
DB00693_docking_min1.mol2,-7.4,63,DB00693
DB04816_docking_min1.mol2,-7.2,63,DB04816
DB00486_docking_min1.mol2,-6.8,63,DB00486
DB11157_docking_min1.mol2,-6.7,63,DB11157
DB12007_docking_min1.mol2,-6.4,63,DB12007
DB00227_docking_min1.mol2,-6.3,63,DB00227
DB00682_docking_min1.mol2,-6.2,63,DB00682
DB01179_docking_min1.mol2,-6.0,63,DB01179
DB00222_docking_min1.mol2,-7.9,64,DB00222
DB01120_docking_min1.mol2,-7.9,64,DB01120
DB01070_docking_min1.mol2,-7.9,65,DB01070
DB00153_docking_min1.mol2,-7.3,65,DB00153
DB13954_docking_min1.mol2,-7.1,65,DB13954
DB00621_docking_min1.mol2,-7.0,65,DB00621
DB00655_docking_min1.mol2,-6.8,65,DB00655
DB01185_docking_min1.mol2,-6.8,65,DB01185
DB02187_docking_min1.mol2,-6.8,65,DB02187
DB13956_docking_min1.mol2,-6.8,65,DB13956
DB00858_docking_min1.mol2,-6.7,65,DB00858
DB00169_docking_min1.mol2,-6.6,65,DB00169
DB09070_docking_min1.mol2,-6.6,65,DB09070
DB06710_docking_min1.mol2,-6.5,65,DB06710
DB13952_docking_min1.mol2,-6.5,65,DB13952
DB00783_docking_min1.mol2,-6.3,65,DB00783
DB01708_docking_min1.mol2,-6.3,65,DB01708
DB00717_docking_min1.mol2,-6.0,65,DB00717
DB12474_docking_min1.mol2,-6.0,65,DB12474
DB04942_docking_min1.mol2,-7.9,66,DB04942
DB06654_docking_min1.mol2,-7.9,67,DB06654
DB00342_docking_min1.mol2,-7.8,68,DB00342
DB01231_docking_min1.mol2,-6.9,68,DB01231
DB00942_docking_min1.mol2,-6.8,68,DB00942
DB00810_docking_min1.mol2,-6.5,68,DB00810
DB01501_docking_min1.mol2,-6.2,68,DB01501
DB09076_docking_min1.mol2,-6.1,68,DB09076
DB00376_docking_min1.mol2,-5.9,68,DB00376
